Id,Title,Topic,Youtube Link,Thumbnail Link,Description,,,
MBRWH2Q4V7U,how to recover deleted history on google,Tips and Tricks,https://www.youtube.com/watch?v=MBRWH2Q4V7U,https://img.youtube.com/vi/MBRWH2Q4V7U/maxresdefault.jpg,a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video   https://www.youtube.com/results?search_query=%23puru world https://www.youtube.com/results?search_query=%23puruworld https://www.youtube.com/results?search_query=%23technical https://www.youtube.com/results?search_query=%23tech https://www.youtube.com/results?search_query=%23androidapps https://www.youtube.com/results?search_query=%23app,,,
nBBJEUgFoL8,Running turboC++ in windows 10,C++,https://www.youtube.com/watch?v=nBBJEUgFoL8,https://img.youtube.com/vi/nBBJEUgFoL8/maxresdefault.jpg,Download link:http://www16.zippyshare.com/v/OT0pX7gE/file.html  a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video,,,
FHS8d7d7pSw,Android |  Making celebration effect in your app,Android,https://www.youtube.com/watch?v=FHS8d7d7pSw,https://img.youtube.com/vi/FHS8d7d7pSw/maxresdefault.jpg,a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video,,,
gGmER2HTBP8,Android | Adding snowfall effect in your app,Android,https://www.youtube.com/watch?v=gGmER2HTBP8,https://img.youtube.com/vi/gGmER2HTBP8/maxresdefault.jpg,a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video,,,
iLNBxedgkwM,Fastest Finger first GAME made by me,Projects,https://www.youtube.com/watch?v=iLNBxedgkwM,https://img.youtube.com/vi/iLNBxedgkwM/maxresdefault.jpg,a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video,,,
Jgja1mKMnfI,Renaming Multiple file at once | puruworld,Tips and Tricks,https://www.youtube.com/watch?v=Jgja1mKMnfI,https://img.youtube.com/vi/Jgja1mKMnfI/maxresdefault.jpg,Link for ant renamer:http://www.antp.be/software/renamer  a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video,,,
X6ykXKYppSY,Python # 3|file handling | Reading | writing,Python,https://www.youtube.com/watch?v=X6ykXKYppSY,https://img.youtube.com/vi/X6ykXKYppSY/maxresdefault.jpg,a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video,,,
KthnMPFXIZ0,Python tutorial # 2 | functions,Python,https://www.youtube.com/watch?v=KthnMPFXIZ0,https://img.youtube.com/vi/KthnMPFXIZ0/maxresdefault.jpg,a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video,,,
9EZQJURUp2k,Python tutorial # 1 | datatypes | if else| loop,Python,https://www.youtube.com/watch?v=9EZQJURUp2k,https://img.youtube.com/vi/9EZQJURUp2k/maxresdefault.jpg,a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video,,,
1M1IeA7277c,Making custom toast using styleable toast library in android,Android,https://www.youtube.com/watch?v=1M1IeA7277c,https://img.youtube.com/vi/1M1IeA7277c/maxresdefault.jpg,In this tutorial I have used the styleable toast library to make a custom toast.By the help of this library it get so easier to make a toast.   a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video,,,
kuKEvrJFM6o,app intro2 Using tap target view library,Android,https://www.youtube.com/watch?v=kuKEvrJFM6o,https://img.youtube.com/vi/kuKEvrJFM6o/maxresdefault.jpg,a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video,,,
Fi405o8kCH0,How to make a app with a app intro library,Android,https://www.youtube.com/watch?v=Fi405o8kCH0,https://img.youtube.com/vi/Fi405o8kCH0/maxresdefault.jpg,This tutorial will show you  how to make your apps intro using android library .Hope you will enjoy it.  You can download the above mention app from below link: https://play.google.com/store/apps/details?id=puruworld.gradientpaint   a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video,,,
T3ObvO6oAAY,Make alert dialog in android,Android,https://www.youtube.com/watch?v=T3ObvO6oAAY,https://img.youtube.com/vi/T3ObvO6oAAY/maxresdefault.jpg,Gradient paint APP : https://play.google.com/store/apps/details?id=puruworld.gradientpaint  a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video,,,
jm_kDY_IIfk,Gradient paint app tutorial,Projects,https://www.youtube.com/watch?v=jm_kDY_IIfk,https://img.youtube.com/vi/jm_kDY_IIfk/maxresdefault.jpg,Gradient paint app link for play store: https://play.google.com/store/apps/details?id=puruworld.gradientpaint   a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video,,,
rILoniQk4As,installing road rash 2 and gameplay,Tips and Tricks,https://www.youtube.com/watch?v=rILoniQk4As,https://img.youtube.com/vi/rILoniQk4As/maxresdefault.jpg,a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video,,,
UtsreBadmiU,How to download road rash 2 game for pc,Tips and Tricks,https://www.youtube.com/watch?v=UtsreBadmiU,https://img.youtube.com/vi/UtsreBadmiU/maxresdefault.jpg,a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video,,,
qs3x2vDj_rs,How to make spin the bottle game in android,Android,https://www.youtube.com/watch?v=qs3x2vDj_rs,https://img.youtube.com/vi/qs3x2vDj_rs/maxresdefault.jpg,You can download the updated spin the bottle game from below link that is made by me:https://play.google.com/store/apps/details?id=puruworld.spinthebottle   a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video,,,
0fOnYkdzUjI,Seekbar example in android,Android,https://www.youtube.com/watch?v=0fOnYkdzUjI,https://img.youtube.com/vi/0fOnYkdzUjI/maxresdefault.jpg,a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video,,,
mBPTvk8maqw,Making text to float in air in android,Android,https://www.youtube.com/watch?v=mBPTvk8maqw,https://img.youtube.com/vi/mBPTvk8maqw/maxresdefault.jpg,a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video,,,
LjOJvsgLNSU,[New great look] House expense app tutorial,Projects,https://www.youtube.com/watch?v=LjOJvsgLNSU,https://img.youtube.com/vi/LjOJvsgLNSU/maxresdefault.jpg,"Here is your favorite daily expense ,house expense,expense manager app in nre great look Download now by the below link;  Play Store: https://play.google.com/store/apps/details?id=myapplication2.com.houseexpense  amazon: ""https://www.amazon.com/puru-world-House-Expense/dp/B074WC7MFC/ref=sr_1_1?s=mobile-apps&ie=UTF8&qid=1503237663&sr=1-1&keywords=houseexpense  a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video",,,
cGOYwm6TbkY,How to implement gradient paint in android studio,Android,https://www.youtube.com/watch?v=cGOYwm6TbkY,https://img.youtube.com/vi/cGOYwm6TbkY/maxresdefault.jpg,a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video,,,
AwesvxJkTAU,impaccent app tutorial,Projects,https://www.youtube.com/watch?v=AwesvxJkTAU,https://img.youtube.com/vi/AwesvxJkTAU/maxresdefault.jpg,Play store link for the app:https://play.google.com/store/apps/details?id=puruworld.impaccent    a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video,,,
Fyc6MPAVT5M,How to see insta DP full size in mobile,Tips and Tricks,https://www.youtube.com/watch?v=Fyc6MPAVT5M,https://img.youtube.com/vi/Fyc6MPAVT5M/maxresdefault.jpg,,,,
2BaY1FBTXTU,How to view and Download Instagram Picture in Full Size...,Tips and Tricks,https://www.youtube.com/watch?v=2BaY1FBTXTU,https://img.youtube.com/vi/2BaY1FBTXTU/maxresdefault.jpg,https://www.youtube.com/results?search_query=%23see_instagram_profile_photo_full_size,,,
tc72Kteyn1Q,How to run computer saved website on mobile,Tips and Tricks,https://www.youtube.com/watch?v=tc72Kteyn1Q,https://img.youtube.com/vi/tc72Kteyn1Q/maxresdefault.jpg,,,,
FAkGlmwfLa0,"Adding pause,play,stop,resume button in mp3player",Core Java,https://www.youtube.com/watch?v=FAkGlmwfLa0,https://img.youtube.com/vi/FAkGlmwfLa0/maxresdefault.jpg,,,,
3NqAmex3Kek,0 seeds in torrent and still you can download,Tips and Tricks,https://www.youtube.com/watch?v=3NqAmex3Kek,https://img.youtube.com/vi/3NqAmex3Kek/maxresdefault.jpg,,,,
hNvQDPXI164,Mp3 player-core java(not UI),Core Java,https://www.youtube.com/watch?v=hNvQDPXI164,https://img.youtube.com/vi/hNvQDPXI164/maxresdefault.jpg,javazoom library download link:http://www.javazoom.net/javalayer/sources.html  For video with UI stay subscribed it will be available within a day or two  a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video,,,
W3blGpou_hc,Make your own countdown timer app,Android,https://www.youtube.com/watch?v=W3blGpou_hc,https://img.youtube.com/vi/W3blGpou_hc/maxresdefault.jpg,a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video,,,
pVJPWgaJIVM,Fun games app tutorial,Android,https://www.youtube.com/watch?v=pVJPWgaJIVM,https://img.youtube.com/vi/pVJPWgaJIVM/maxresdefault.jpg,This is a fun game having 4 in 1 built games as Spin the bottle Toss the coin Tic Tac Toe(Zero-cross) Stone paper scissor  This app can be downloaded from below as follows: https://play.google.com/store/apps/details?id=puruworld.fungames    a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video,,,
Dyu4HMCDIVc,House expense app tutorial,Android,https://www.youtube.com/watch?v=Dyu4HMCDIVc,https://img.youtube.com/vi/Dyu4HMCDIVc/maxresdefault.jpg,"This app is to manage your product income & expense in best way . Why download this? 1. Easy UI to manage your records. 2. Export your records to a text file. 3. Easy search,delete by your product name and ID   This application you can download from the below link.  https://play.google.com/store/apps/details?id=myapplication2.com.houseexpense   a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video",,,
MF0npoiQfFU,Make your own countdown timer in core java,Core Java,https://www.youtube.com/watch?v=MF0npoiQfFU,https://img.youtube.com/vi/MF0npoiQfFU/maxresdefault.jpg,a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video,,,
2Ou9sxG-4_A,Make your own help button in Java || Use it for Follow us in Java,Core Java,https://www.youtube.com/watch?v=2Ou9sxG-4_A,https://img.youtube.com/vi/2Ou9sxG-4_A/maxresdefault.jpg,a little help for all computer lovers  If you get a piece of knowledge about anything then like this video,,,
YnvPaCMPZ6U,�Make your own splash screen like youtube for your app,Android,https://www.youtube.com/watch?v=YnvPaCMPZ6U,https://img.youtube.com/vi/YnvPaCMPZ6U/maxresdefault.jpg,"a little help for all computer lovers guys SUBSCRIBE its FREE How to subscribe:just click on the red button saying ""subscribe"" and if it's color changes to white then you have subscribed  and if you learn something today.Then LIKE the video",,,
pJQK1byBCjg,Make your own Web browser for mobile,Android,https://www.youtube.com/watch?v=pJQK1byBCjg,https://img.youtube.com/vi/pJQK1byBCjg/maxresdefault.jpg,"a little help for all computer lovers Like my videos if you have got to learn something today. Subscribe!! It's FREE how to subscribe: Click on the only red button on the screen  saying ""subscribe"" and see if you can change the color of it from red to white😀",,,
WbJAqn1Boes,Android developer site offline,Android,https://www.youtube.com/watch?v=WbJAqn1Boes,https://img.youtube.com/vi/WbJAqn1Boes/maxresdefault.jpg,If you have downloaded Android studio then it will be on the address shown in video in index.html file,,,
MhSBeVsL1bw,Make your own tictactoe game in android,Android,https://www.youtube.com/watch?v=MhSBeVsL1bw,https://img.youtube.com/vi/MhSBeVsL1bw/maxresdefault.jpg,"Now, Donating options is available 👇👇👇👇👇 https://www.paypal.me/puruworld Tez:+91 8209678864 👆👆👆👆👆  App code link:https://puruworldofficial.blogspot.in/2018/03/make-your-own-tictactoe-game-in-android.html  Make your own tictactoe game in android  Download my made app  from below: https://play.google.com/store/apps/details?id=puruworld.fungames",,,
2CpuznudFlk,Make your own music player in core java,Core Java,https://www.youtube.com/watch?v=2CpuznudFlk,https://img.youtube.com/vi/2CpuznudFlk/maxresdefault.jpg,I have just use for educational purpose only. the music is owned by:yrfmusic,,,
OwFoIE3JW4M,Make your own tictactoe game using java,Core Java,https://www.youtube.com/watch?v=OwFoIE3JW4M,https://img.youtube.com/vi/OwFoIE3JW4M/maxresdefault.jpg,Still have some bugs but a good way to start,,,
fOBmWCgJzMk,Wifi problem solved in kali linux,Linux,https://www.youtube.com/watch?v=fOBmWCgJzMk,https://img.youtube.com/vi/fOBmWCgJzMk/maxresdefault.jpg,If your problem solved like the video and comment of any problem will be appreciated,,,
GCvPyvQjcX4,How to play play station games on pc,Tips and Tricks,https://www.youtube.com/watch?v=GCvPyvQjcX4,https://img.youtube.com/vi/GCvPyvQjcX4/maxresdefault.jpg,"Step1:Just download and install ppsspp emulator for pc. Step2: Download your favourite game iso from emuparadise.me Step3:extract two times as shown in video Step4:control with z,x,a,s space etc  And enjoy playing the game",,,
IUkMPWPwUmM,How to increase the screen size(Resolution)of kali linux in vmware,Linux,https://www.youtube.com/watch?v=IUkMPWPwUmM,https://img.youtube.com/vi/IUkMPWPwUmM/maxresdefault.jpg,a little help for all computer lovers,,,
qePXerDxqBA,Android studio tutorial in hindi (part 2),Android,https://www.youtube.com/watch?v=qePXerDxqBA,https://img.youtube.com/vi/qePXerDxqBA/maxresdefault.jpg,**sounds best in headphones**  Comment of your error will be appreciated  Android studio tutorial in hindi part 1 link  https://www.youtube.com/watch?v=cCLRVCh2Cj4,,,
cCLRVCh2Cj4,Android studio tutorial in hindi (part 1),Android,https://www.youtube.com/watch?v=cCLRVCh2Cj4,https://img.youtube.com/vi/cCLRVCh2Cj4/maxresdefault.jpg,Getting familiar with android studio  It will be best in sound if you use headphone or earphone  Android studio tutorial part 2 link: https://www.youtube.com/watch?v=qePXerDxqBA,,,
1rlwBb1LjW0,Increase 3x download speed in idm (try and believe),Tips and Tricks,https://www.youtube.com/watch?v=1rlwBb1LjW0,https://img.youtube.com/vi/1rlwBb1LjW0/maxresdefault.jpg,Increase 3x speed in idm try and believe],,,
n8rNaJWNriI,How to download from extratorrent while it has been shut down completely.,Tips and Tricks,https://www.youtube.com/watch?v=n8rNaJWNriI,https://img.youtube.com/vi/n8rNaJWNriI/maxresdefault.jpg,It has been difficult for user to download from extratorrent.cc after completed shut down here is a way  to download from popular site extratorrent.Hope u like it.   Another way to download from extratorrent. https://www.youtube.com/watch?v=PwN1wtwVYlA,,,
JLpKHx7B6OE,How to Transfer all files between computer and Mobile Wirelessly For Free ?,Tips and Tricks,https://www.youtube.com/watch?v=JLpKHx7B6OE,https://img.youtube.com/vi/JLpKHx7B6OE/maxresdefault.jpg,How to transfer files through mobile to pc   Comment transférer des fichiers via le mobile vers le PC    Как переносить файлы с мобильных устройств на ПК Kak perenosit' fayly s mobil'nykh ustroystv na PK  Wie tansfer Dateien von Handy zu PC   मोबाइल से पीसी तक फ़ाइलों को कैसे संक्षिप्त करना mobail se peesee tak failon ko kaise sankshipt karana,,,
UVclrzzuJC0,[Must watch]How to change the image background in android mobile,Tips and Tricks,https://www.youtube.com/watch?v=UVclrzzuJC0,https://img.youtube.com/vi/UVclrzzuJC0/maxresdefault.jpg,a little help for all computer lovers,,,
r_4uz9YIX9o,How To play gta vice city in Android mobile having low ram (hindi),Tips and Tricks,https://www.youtube.com/watch?v=r_4uz9YIX9o,https://img.youtube.com/vi/r_4uz9YIX9o/maxresdefault.jpg,Dosto agr apko yeh trkeeb psnd aye toh video ko like share aur subscribe krna na bhule   link:https://www.emuparadise.me/PSP_ISOs/List-All-Titles-By-Downloads-1/44  This one is for those who understand Hindi if you want English version let me know in comments,,,
_iimgE90tAk,how to make your channel intro(cell phone and bell),Tips and Tricks,https://www.youtube.com/watch?v=_iimgE90tAk,https://img.youtube.com/vi/_iimgE90tAk/maxresdefault.jpg,mobile phonne ico: https://cdn2.iconfinder.com/data/icons/thin-line-smartphones/100/smarphones-08-512.png,,,
xTCv8WiT6DA,How to play roadrash on your Android phone,Tips and Tricks,https://www.youtube.com/watch?v=xTCv8WiT6DA,https://img.youtube.com/vi/xTCv8WiT6DA/maxresdefault.jpg,"Hey guys the link to that website is: http://www.gadgetius.com/how-to-play-road-rash-on-android/  Like ,subscriber and share  अपने एंड्रॉइड फोन पर रोड्रैश कैसे खेलें   あなたのAndroidフォンで路上で遊ぶ方法 Anata no andoroido fon de rojō de asobu hōhō   如何在Android手機上播放roadrash Rúhé zài Android shǒujī shàng bòfàng roadrash   Comment jouer à roadrash sur votre téléphone Android   Wie man Roadrash auf deinem Android-Handy spielt",,,
8Jg_1Vq7JWM,3 unbelievable things you can do with your old usb cable,Tips and Tricks,https://www.youtube.com/watch?v=8Jg_1Vq7JWM,https://img.youtube.com/vi/8Jg_1Vq7JWM/maxresdefault.jpg,have old usb cable not working...... having pin problem wanna make it useful!! then watch the full video,,,
RCdMXFECNMU,how to control pc from android or vice-versa,Tips and Tricks,https://www.youtube.com/watch?v=RCdMXFECNMU,https://img.youtube.com/vi/RCdMXFECNMU/maxresdefault.jpg,"i found this cool working trick to control pc and android phone to each other  this is for the people whose mouse or keyboard component of pc doesn't work or problem of touch in mobile  you can play all your game of android or pc in any platform hope you like it plz subscribe my channel   Rúhé cóng android kòngzhì pc, fǎnzhī yì rán   Comment contrôler le PC depuis Android ou vice versa   Wie man pc von android oder umgekehrt steuert   Как управлять компьютером из Android или наоборот",,,
5fYXwS2_nDY,How to project android KitKat or higher  to laptop,Tips and Tricks,https://www.youtube.com/watch?v=5fYXwS2_nDY,https://img.youtube.com/vi/5fYXwS2_nDY/maxresdefault.jpg,A little help for computer lovers.  The video somewhere is problematic but u will understand all of it,,,
y_e7K7RHHVI,how to connect two laptop wireless without lan in any operating system 100% real if done correct,Tips and Tricks,https://www.youtube.com/watch?v=y_e7K7RHHVI,https://img.youtube.com/vi/y_e7K7RHHVI/maxresdefault.jpg,"Replace ssid with the SSID of your network by using Ctrl-F and finding and replacing each instance. You can then copy and paste each line into the command line window  netsh wlan show networks  ***Go to ""Network and Sharing Center""  - Click ""Set up a new connection or network""  - Double click ""Manually connect to a wireless network""  - Enter the SSID of the adhoc network (as shown by ""netsh wlan show networks"") into the ""Network name"" field  - Configure security settings accordingly  - Uncheck ""Start this connection automatically"" (important)  - Click ""Next"", then ""Close""  ***Windows 8.1 command netsh wlan set profileparameter ssid connectiontype=ibss   ***Windows 10 command netsh wlan set profileparameter ssid connectiontype=ibss connectionmode=manual   netsh wlan connect ssid   netsh wlan delete profile ssid   IMPORTANT: 1.uncheck the box of ""start this connection automatically"" while on the step of manually connecting to a wireless network  i have mistakenle used same ip address but use different for e.g:192.168.1.1 and 192.168.1.2 thnx plz subscribe  Как подключить два ноутбука к беспроводной сети без LAN в любой операционной системе 100% реальный, если все сделано правильно   Wie man zwei Laptop drahtlos ohne Lan in jedem Betriebssystem 100% real, wenn richtig gemacht zu verbinden   Comment connecter deux ordinateurs portables sans fil dans n'importe quel système d'exploitation 100% réel si cela est correct   如何在任何操作系統中連接兩台筆記本電腦無lan，如果完成正確則100％真實   任意のオペレーティングシステムでLANなしで2つのラップトップ無線機を接続する方法   बिना किसी ऑपरेटिंग सिस्टम में लैन के बिना दो लैपटॉप वायरलेस कैसे कनेक्ट करें 100% असली अगर सही किया |",,,
SR2wjos33h0,how to reset mysql password,MySql,https://www.youtube.com/watch?v=SR2wjos33h0,https://img.youtube.com/vi/SR2wjos33h0/maxresdefault.jpg,a little help for all computer lovers  just download the file from below https://www.keeplinks.eu/p73/588b0fd69a99d http://www85.zippyshare.com/v/B5LHNiEi/file.html,,,
